,review_id,text
0,QEkyAdsrVo7tEsANDN7O9g,Missed Marvin this time around. Really enjoyed the chocolate shake. Went later in the day than I normally had in the past. Best time to go is as soon as they open. If you're lucky enough to catch Marvin working then you're in for a treat! He's definitely entertaining!
1,kIViMGM4JTHHozAE1r9boA,"best breakfast ive had in a very long time. ive been very disappointed with breakfast, maybe its just me. thats why cammellias was so amazing i had the omelet on the bottom of the menu maybe camellia, chef  or something. so good! my brother had the mexican which was also very tasty. then we had a pecan omelet and that my friends is to die for. its thinner than most which i really enjoyed, get you order in asap they get busy. the service however is very personable and awesome."
2,LpHt30LaQHAtBs-j_EYUUw,I recently visited the new French Quarter location and enjoyed it as much as the Carrollton location. Make sure you get the Manhattan Omelette. To die for!
3,WqCjrz_fV-n6y_nDxme2lA,"This is one of my favorite places anywhere! If I was told I would have to eat at Camillia Grill for the rest of my life, I might be okay with it. I'd be 400 pounds ...but I'd be happy.

Whatever Marvin is on, I want some of it. He is high energy, fun and gives awesome service! The waitstaff is half the fun of this place.

The food is awesome. It is one of the best breakfast places in the world. I have only eaten breakfast here but my wife said her corned beef sandwich was the best she ever had. When you order pancakes and you can pour the butter onto them prior to pouring syrup on, it's just...well...insert superlative here!

There is usually a wait but it is well worth it. I could go on and on but suffice to say this is a New Orleans landmark that is as good, if not better than advertised.

Huge smiley face!"
4,J8kc5pwyAtpl1Wm91RopYQ,"A total disappointment. Long time New Orleanians will recall the spotless venue, professional friendly staff. Now, the place is filthy, rundown, with stained napkins, rusted equipment, and the 'white' outfits of the staff are stained, dirty and frankly disgusting. The staff clowned around among themselves, making loud obnoxious noises.

Worse, the food was greasy, as they now have succumbed to the 'yellow substance in a bottle that is not butter' to squirt on everything, and imitation cheese for the omelettes. 

Top it off with a surly person at the register and you've had a uniformly terrible meal.

To say that Camellia Grill is a shadow of what it once was is a compliment. Its  worse than a Dot's diner or Waffle house now. It needs a complete renovation, and a newly trained staff. Sad..."
5,Eb8qupWiFGi_OU-E-NbB1A,"As far as diners go, you just don't get much better than this. Worth the wait, great staff behind the counter. A regular spot for us to visit when in the Big Easy."
6,qeRvtq8AcZATC-BE8tChFg,This place was great food and entertainment all in one. Our waiter Ronald was so fun. My friends and I all loved our breakfast. A great place to start the day in New Orleans.
7,kgBV2kR1LQ-LQqpI71qHxQ,"One of my co workers brother recommended this place to us and it was absolutely amazing.

We were in NOLA for Essence Music Festival and looking for somewhere to have breakfast, we called Eddie, a renowned NOLA taxi cab driver, and he drove us up scenic and beautiful St. Charles street to get to Camellia's.

There was a little bit of a line but we didn't mind waiting, especially once we realized we could get Mimosas to go at the bar next door to ease the pain of waiting in line. 

The hostess was friendly and welcoming but the waiters behind the counter are all top notch. We got there a little after 11am and they only have grits until 11am but our waiter scraped what he could out of the pan to give me a taster and although I did not want to I shared it with my girls, one of whom does not like grits but when I say these grits were creamy and cooked to perfection, they just melted in your mouth.

We ordered pancakes as an appetizer because we are just greedy and they were the best pancakes ever, they were so buttery and fluffy, hmm so so good!!

I had a bacon omelet which I think had a pound of bacon in it, but I had them add spinach to balance it out ;).

My friends both had omelets I think, one with chili on it and I think she died and went to heaven, they also gave me a taster of the chili for my omelet, who woulda thunk to put chili on an omelet??? It was amazing!!!

Two of the waiters have been there for over 20 years and they were super nice and full of compliments for us, they were good for our egos!!

This place is amazing, the food was so good and the atmosphere makes you feel like you are family."
8,mTvtpfqo-h0FRwId5ByRYg,"Went in for breakfast. The food was fine. The service from the server was awful. The cook was entertaining and wonderful. I would say it was a good place to go just for the experience. The kids had fun. The high chair can fit over the stools, allowing the littlest to be at the table. 

I ordered an egg sandwich and hash browns. Was basic diner food. The kids got waffles and they were basically just pancakes with texture. 

Jeremy went with Mexican omelette. It was fine he said. He loves pecans, so he ordered the pie. He liked it.  Was best part of meal."
9,R6fuc7koJeRn5K_a-U4gmA,"A highlight of our trip to NO. Amazingly friendly staff (Brun made us feel like family immediately) in a rare, old school diner environment. Do not leave without trying the pecan pie. I try not to eat dessert, but this is pecan pie is famous for a reason and worth the calories."
10,GmP59dlSHgHPm7Pzj_6FrA,Terrific hamburgers and pecan pie. Great service and atmosphere for a reasonable price. Well worth the wait
11,VZ0BKNuFgIdDphAh-vWqbg,"Camellia grill. Easy enough review. This place is not going to wow you with extravagance or anything, but if you want cheap, down-home food, go here.

I got the pecan waffle (10/10) eggs (6/10 - the whites weren't cooked enough) and ham (7/10? How does one properly judge a ham?). The buttery syrup was fantastic. Everything was good. 

The atmosphere is what sets this place apart, really. The waiters are working there, but are they really working? The large African American man who was our waiter was working IT, I'll tell you that. Some large African American lady came in and he put some sweet moves on this lady right in front of our eyes. I've never been so ready to eat in my life watching this display. Incredible experience.

So yeah, come to camellia grill. It's worth your time."
