Timestamp,What is your affiliation to HDSI?,Are there any other factors that you would consider important?,Are there any other roles and responsibilities that you think the Student Council should take on?,What would be the best modes of communicating Student Council updates and events to students?,Are you interested in applying for positions within the HDSI Student Council?
2/27/2024 15:27:23,Guest of HDSI,,,,
2/29/2024 17:27:46,Guest of HDSI,,,,
2/29/2024 17:27:55,Guest of HDSI,,,,
2/29/2024 17:28:12,Guest of HDSI,,,,
2/29/2024 17:28:40,Guest of HDSI,,,,
2/29/2024 17:32:59,Data Science Undergraduate Major Student,,,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, The HDSI Website, In-person announcements (in classes, townhalls)",Yes
2/29/2024 17:34:49,Guest of HDSI,,,,
2/29/2024 17:42:17,Data Science Undergraduate Major Student,,,"The HDSI Website, In-person announcements (in classes, townhalls)",No
2/29/2024 17:43:34,Data Science Undergraduate Major Student,No,No,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, Weekly HDSI Newsletters",No
2/29/2024 17:44:01,Data Science Undergraduate Major Student,Their character ,Community work ,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, Weekly HDSI Newsletters, The HDSI Website, In-person announcements (in classes, townhalls), Printed flyers",Yes
2/29/2024 17:47:24,Data Science Undergraduate Major Student,Working on things,Idk,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, The HDSI Website",No
2/29/2024 17:48:32,Data Science Undergraduate Major Student,Not sure.,I’m not sure.,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email",No
2/29/2024 17:49:35,Guest of HDSI,,,,
2/29/2024 17:50:48,Data Science MS Graduate Student,,,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Weekly HDSI Newsletters, The HDSI Website, In-person announcements (in classes, townhalls), Printed flyers",No
2/29/2024 17:51:02,Data Science MS Graduate Student,No,No,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.)",No
2/29/2024 17:51:13,Data Science MS Graduate Student,I think the above ones are relevant ,No,Email,No
2/29/2024 17:51:25,Data Science MS Graduate Student,Nope,Nope ,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, Weekly HDSI Newsletters",No
2/29/2024 17:57:37,Guest of HDSI,,,,
2/29/2024 17:57:48,Data Science Undergraduate Minor Student,na,"na
",The HDSI Website,Yes
2/29/2024 17:58:04,Guest of HDSI,,,,
2/29/2024 17:59:37,Data Science Undergraduate Major Student,Not really,No,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, Weekly HDSI Newsletters, The HDSI Website",No
2/29/2024 18:00:13,Data Science Undergraduate Major Student,,,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, Weekly HDSI Newsletters, The HDSI Website, Printed flyers",Yes
2/29/2024 18:00:45,Data Science Undergraduate Major Student,No,,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, Weekly HDSI Newsletters, The HDSI Website, In-person announcements (in classes, townhalls)",Yes
2/29/2024 18:01:10,Data Science Undergraduate Major Student,Community ,,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, Weekly HDSI Newsletters, The HDSI Website, Printed flyers",No
